InvoiceId,Date,VATPeriod,BuyerId,BuyerSector,BuyerSizeCategory,SupplierId,SupplierSector,Good,Quantity,PunktafgiftRate,TotalObligation,ActualPayment,PaymentFactor,ComplianceCategory,UnderPayment
INV402082,2024-04-01,2024 Q2,692,Importer,Large,203,Cafe,Coffee_Beans,19.941796,25.0,498.54,305.05,0.6119,partially_compliant,193.49
INV403820,2024-04-01,2024 Q2,680,Importer,Medium,205,Cafe,Coffee_Beans,4.20799,25.0,105.2,102.01,0.9697,compliant,3.19
INV405558,2024-04-01,2024 Q2,684,Importer,Medium,207,Cafe,Coffee_Beans,4.88107,25.0,122.03,118.47,0.9708,compliant,3.56
INV415117,2024-04-01,2024 Q2,677,Importer,Small,218,Cafe,Coffee_Beans,11.101369,25.0,277.53,271.2,0.9772,compliant,6.33
INV420331,2024-04-01,2024 Q2,686,Importer,Small,224,Cafe,Coffee_Beans,3.583148,25.0,89.58,1.01,0.0113,non_compliant,88.57
INV423807,2024-04-01,2024 Q2,677,Importer,Small,228,Cafe,Coffee_Beans,4.337987,25.0,108.45,105.98,0.9772,compliant,2.47
INV425545,2024-04-01,2024 Q2,682,Importer,Small,230,Cafe,Coffee_Beans,4.873504,25.0,121.84,87.82,0.7208,partially_compliant,34.02
INV426414,2024-04-01,2024 Q2,681,Importer,Small,231,Cafe,Coffee_Beans,4.734484,25.0,118.36,0.0,0.0,non_compliant,118.36
INV429021,2024-04-01,2024 Q2,673,Importer,Medium,234,Cafe,Coffee_Beans,4.427342,25.0,110.68,106.3,0.9604,compliant,4.38
INV429890,2024-04-01,2024 Q2,673,Importer,Medium,235,Cafe,Coffee_Beans,21.039847,25.0,526.0,505.17,0.9604,compliant,20.82
INV431628,2024-04-01,2024 Q2,683,Importer,Small,237,Cafe,Coffee_Beans,10.781801,25.0,269.55,190.91,0.7083,partially_compliant,78.64
INV437711,2024-04-01,2024 Q2,682,Importer,Small,244,Cafe,Coffee_Beans,5.394722,25.0,134.87,97.21,0.7208,partially_compliant,37.65
INV439449,2024-04-01,2024 Q2,688,Importer,Small,246,Cafe,Coffee_Beans,5.109489,25.0,127.74,124.13,0.9717,compliant,3.61
INV444663,2024-04-01,2024 Q2,675,Importer,Small,252,Cafe,Coffee_Beans,5.34512,25.0,133.63,133.08,0.9959,compliant,0.55
INV448139,2024-04-01,2024 Q2,678,Importer,Medium,256,Cafe,Coffee_Beans,8.456676,25.0,211.42,114.82,0.5431,partially_compliant,96.6
INV449008,2024-04-01,2024 Q2,680,Importer,Medium,257,Cafe,Coffee_Beans,21.326451,25.0,533.16,517.01,0.9697,compliant,16.15
INV454222,2024-04-01,2024 Q2,675,Importer,Small,263,Cafe,Coffee_Beans,3.907534,25.0,97.69,97.29,0.9959,compliant,0.4
INV459436,2024-04-01,2024 Q2,677,Importer,Small,269,Cafe,Coffee_Beans,3.872905,25.0,96.82,94.61,0.9772,compliant,2.21
INV463781,2024-04-01,2024 Q2,673,Importer,Medium,274,Cafe,Coffee_Beans,5.204987,25.0,130.12,124.97,0.9604,compliant,5.15
INV464650,2024-04-01,2024 Q2,689,Importer,Small,275,Cafe,Coffee_Beans,5.068937,25.0,126.72,125.07,0.987,compliant,1.65
INV465519,2024-04-01,2024 Q2,692,Importer,Large,276,Cafe,Coffee_Beans,4.794337,25.0,119.86,73.34,0.6119,partially_compliant,46.52
INV469864,2024-04-01,2024 Q2,689,Importer,Small,281,Cafe,Coffee_Beans,8.647869,25.0,216.2,213.38,0.987,compliant,2.81
INV475078,2024-04-01,2024 Q2,680,Importer,Medium,287,Cafe,Coffee_Beans,4.511377,25.0,112.78,109.37,0.9697,compliant,3.42
INV477685,2024-04-01,2024 Q2,675,Importer,Small,290,Cafe,Coffee_Beans,3.936159,25.0,98.4,98.0,0.9959,compliant,0.4
INV483768,2024-04-01,2024 Q2,689,Importer,Small,297,Cafe,Coffee_Beans,8.021016,25.0,200.53,197.92,0.987,compliant,2.61
INV484637,2024-04-01,2024 Q2,674,Importer,Small,298,Cafe,Coffee_Beans,4.535105,25.0,113.38,109.9,0.9694,compliant,3.47
INV489851,2024-04-01,2024 Q2,682,Importer,Small,304,Cafe,Coffee_Beans,3.979839,25.0,99.5,71.72,0.7208,partially_compliant,27.78
INV490720,2024-04-01,2024 Q2,682,Importer,Small,305,Cafe,Coffee_Beans,4.003498,25.0,100.09,72.14,0.7208,partially_compliant,27.94
INV495934,2024-04-01,2024 Q2,680,Importer,Medium,311,Cafe,Coffee_Beans,4.955881,25.0,123.9,120.14,0.9697,compliant,3.75
INV496803,2024-04-01,2024 Q2,689,Importer,Small,312,Cafe,Coffee_Beans,5.71271,25.0,142.82,140.96,0.987,compliant,1.86
