BuyerId,VATPeriod,VATDate,BuyerSector,BuyerSizeCategory,TotalObligation,ActualPayment,UnderPayment,TransactionCount,ComplianceRate
673,2024 Q2,2024-06-30,Importer,Medium,46683.34,44835.1,1848.27,182,0.9604
673,2024 Q3,2024-09-30,Importer,Medium,45708.8,45274.65,434.06,170,0.9905
673,2024 Q4,2024-12-31,Importer,Medium,47301.02,46004.99,1295.98,169,0.9726
673,2025 Q1,2025-03-31,Importer,Medium,49358.9,49358.9,0.0,169,1.0
673,2025 Q2,2025-06-30,Importer,Medium,49442.4,47555.89,1886.58,170,0.9618
673,2025 Q3,2025-09-30,Importer,Medium,45867.88,44463.28,1404.54,169,0.9694
674,2024 Q2,2024-06-30,Importer,Small,2102.11,2037.71,64.4,14,0.9694
674,2024 Q3,2024-09-30,Importer,Small,2144.97,2125.36,19.61,13,0.9909
674,2024 Q4,2024-12-31,Importer,Small,2350.33,2339.15,11.17,13,0.9952
674,2025 Q1,2025-03-31,Importer,Small,2224.09,2148.26,75.8,13,0.9659
674,2025 Q2,2025-06-30,Importer,Small,2066.66,2066.66,0.0,13,1.0
674,2025 Q3,2025-09-30,Importer,Small,2090.25,2085.55,4.68,13,0.9978
675,2024 Q2,2024-06-30,Importer,Small,24933.68,24831.91,101.84,113,0.9959
675,2024 Q3,2024-09-30,Importer,Small,22104.21,22104.21,0.0,104,1.0
675,2024 Q4,2024-12-31,Importer,Small,25754.06,24805.84,948.18,104,0.9632
675,2025 Q1,2025-03-31,Importer,Small,26294.2,25549.95,744.24,104,0.9717
675,2025 Q2,2025-06-30,Importer,Small,25331.89,25331.89,0.0,104,1.0
675,2025 Q3,2025-09-30,Importer,Small,27388.88,26346.34,1042.56,105,0.9619
677,2024 Q2,2024-06-30,Importer,Small,14841.59,14503.02,338.56,70,0.9772
677,2024 Q3,2024-09-30,Importer,Small,14375.93,14095.71,280.28,65,0.9805
677,2024 Q4,2024-12-31,Importer,Small,15476.81,15085.24,391.57,65,0.9747
677,2025 Q1,2025-03-31,Importer,Small,17204.55,16743.26,461.34,65,0.9732
677,2025 Q2,2025-06-30,Importer,Small,17851.16,17710.84,140.32,65,0.9921
677,2025 Q3,2025-09-30,Importer,Small,16366.91,16366.91,0.0,65,1.0
678,2024 Q2,2024-06-30,Importer,Medium,16305.07,8855.26,7449.83,56,0.5431
678,2024 Q3,2024-09-30,Importer,Medium,14689.84,10835.38,3854.44,52,0.7376
678,2024 Q4,2024-12-31,Importer,Medium,13837.65,9824.15,4013.43,52,0.71
678,2025 Q1,2025-03-31,Importer,Medium,14182.63,8395.57,5787.07,52,0.592
678,2025 Q2,2025-06-30,Importer,Medium,15506.98,8747.18,6759.79,52,0.5641
678,2025 Q3,2025-09-30,Importer,Medium,14790.94,10925.59,3865.3,52,0.7387
679,2024 Q2,2024-06-30,Importer,Large,19236.73,9981.86,9254.85,84,0.5189
679,2024 Q3,2024-09-30,Importer,Large,18357.15,11361.78,6995.4,78,0.6189
679,2024 Q4,2024-12-31,Importer,Large,20921.53,12297.86,8623.66,78,0.5878
679,2025 Q1,2025-03-31,Importer,Large,21129.55,12510.34,8619.26,78,0.5921
679,2025 Q2,2025-06-30,Importer,Large,20255.43,17433.11,2822.3,78,0.8607
679,2025 Q3,2025-09-30,Importer,Large,20558.78,18086.2,2472.58,78,0.8797
680,2024 Q2,2024-06-30,Importer,Medium,43352.75,42039.7,1313.17,140,0.9697
680,2024 Q3,2024-09-30,Importer,Medium,40042.71,38908.84,1133.76,130,0.9717
680,2024 Q4,2024-12-31,Importer,Medium,41929.08,41929.08,0.0,130,1.0
680,2025 Q1,2025-03-31,Importer,Medium,42295.69,40180.87,2114.76,130,0.95
680,2025 Q2,2025-06-30,Importer,Medium,41373.15,40156.43,1216.68,130,0.9706
680,2025 Q3,2025-09-30,Importer,Medium,41779.13,41779.13,0.0,130,1.0
681,2024 Q2,2024-06-30,Importer,Small,7972.36,0.0,7972.36,28,0.0
681,2024 Q3,2024-09-30,Importer,Small,8045.94,186.79,7859.1,27,0.0232
681,2024 Q4,2024-12-31,Importer,Small,8886.15,0.0,8886.15,26,0.0
681,2025 Q1,2025-03-31,Importer,Small,9343.5,0.0,9343.5,26,0.0
681,2025 Q2,2025-06-30,Importer,Small,9517.96,0.0,9517.96,26,0.0
681,2025 Q3,2025-09-30,Importer,Small,9686.32,968.61,8717.67,26,0.1
682,2024 Q2,2024-06-30,Importer,Small,23919.54,17241.48,6678.02,112,0.7208
682,2024 Q3,2024-09-30,Importer,Small,25064.04,17447.57,7616.45,104,0.6961
682,2024 Q4,2024-12-31,Importer,Small,22427.05,17887.37,4539.74,104,0.7976
682,2025 Q1,2025-03-31,Importer,Small,23275.23,12740.14,10535.09,105,0.5474
682,2025 Q2,2025-06-30,Importer,Small,27494.47,11109.66,16384.81,104,0.4041
682,2025 Q3,2025-09-30,Importer,Small,27117.33,23169.31,3948.01,105,0.8544
683,2024 Q2,2024-06-30,Importer,Small,6689.65,4738.05,1951.63,28,0.7083
683,2024 Q3,2024-09-30,Importer,Small,6695.37,5349.1900000000005,1346.17,26,0.7989
683,2024 Q4,2024-12-31,Importer,Small,6830.62,4254.77,2575.87,26,0.6229
683,2025 Q1,2025-03-31,Importer,Small,7175.32,4281.4800000000005,2893.84,26,0.5967
683,2025 Q2,2025-06-30,Importer,Small,8221.6,4751.64,3469.92,27,0.5779
683,2025 Q3,2025-09-30,Importer,Small,8820.69,3087.25,5733.45,27,0.35
684,2024 Q2,2024-06-30,Importer,Medium,2363.33,2294.38,68.97,14,0.9708
684,2024 Q3,2024-09-30,Importer,Medium,2249.12,2229.58,19.55,13,0.9913
684,2024 Q4,2024-12-31,Importer,Medium,2089.3,2061.29,28.02,13,0.9866
684,2025 Q1,2025-03-31,Importer,Medium,2083.58,2054.9,28.68,13,0.9862
684,2025 Q2,2025-06-30,Importer,Medium,2331.87,2226.51,105.36,13,0.9548
684,2025 Q3,2025-09-30,Importer,Medium,2292.79,2231.17,61.61,13,0.9731
685,2024 Q2,2024-06-30,Importer,Small,8879.67,8656.93,222.73,28,0.9749
685,2024 Q3,2024-09-30,Importer,Small,6007.4,5834.150000000001,173.23,26,0.9712
685,2024 Q4,2024-12-31,Importer,Small,6530.9800000000005,6271.39,259.61,26,0.9603
685,2025 Q1,2025-03-31,Importer,Small,8186.2,7776.89,409.31,26,0.95
685,2025 Q2,2025-06-30,Importer,Small,6748.87,6685.2,63.68,26,0.9906
685,2025 Q3,2025-09-30,Importer,Small,6181.31,5945.07,236.3,26,0.9618
686,2024 Q2,2024-06-30,Importer,Small,28834.93,325.18,28509.68,112,0.0113
686,2024 Q3,2024-09-30,Importer,Small,31134.47,1950.41,29184.01,104,0.0626
686,2024 Q4,2024-12-31,Importer,Small,31546.75,1610.86,29935.85,104,0.0511
686,2025 Q1,2025-03-31,Importer,Small,29057.8,2905.82,26152.01,105,0.1
686,2025 Q2,2025-06-30,Importer,Small,29116.78,731.32,28385.44,104,0.0251
686,2025 Q3,2025-09-30,Importer,Small,27220.62,0.0,27220.62,104,0.0
687,2024 Q2,2024-06-30,Importer,Medium,1718.24,1308.83,409.43,14,0.7617
687,2024 Q3,2024-09-30,Importer,Medium,1782.94,1306.82,476.12,13,0.733
687,2024 Q4,2024-12-31,Importer,Medium,1826.41,1585.19,241.26,13,0.8679
687,2025 Q1,2025-03-31,Importer,Medium,1990.1,1310.62,679.48,13,0.6586
687,2025 Q2,2025-06-30,Importer,Medium,2107.73,1536.43,571.33,13,0.729
687,2025 Q3,2025-09-30,Importer,Medium,2218.17,2072.53,145.62,13,0.9343
688,2024 Q2,2024-06-30,Importer,Small,10751.28,10447.32,304.0,29,0.9717
688,2024 Q3,2024-09-30,Importer,Small,10281.32,10219.04,62.27,26,0.9939
688,2024 Q4,2024-12-31,Importer,Small,12154.14,11821.24,332.88,26,0.9726
688,2025 Q1,2025-03-31,Importer,Small,11117.23,10670.63,446.57,26,0.9598
688,2025 Q2,2025-06-30,Importer,Small,8624.880000000001,8417.83,207.09,26,0.976
688,2025 Q3,2025-09-30,Importer,Small,12993.22,12993.22,0.0,26,1.0
689,2024 Q2,2024-06-30,Importer,Small,23821.79,23511.64,310.0,99,0.987
689,2024 Q3,2024-09-30,Importer,Small,21657.08,21084.75,572.32,92,0.9736
689,2024 Q4,2024-12-31,Importer,Small,24139.39,23693.5,445.88,91,0.9815
689,2025 Q1,2025-03-31,Importer,Small,23247.01,23003.4,243.6,91,0.9895
689,2025 Q2,2025-06-30,Importer,Small,23662.21,23625.68,36.52,91,0.9985
689,2025 Q3,2025-09-30,Importer,Small,22823.82,22415.46,408.27,92,0.9821
690,2024 Q2,2024-06-30,Importer,Small,16826.39,9653.22,7173.14,57,0.5737
690,2024 Q3,2024-09-30,Importer,Small,13531.37,8447.0,5084.42,52,0.6243
