CompanyId,VATPeriod,VATDate,Sector,OutputVAT,ExpectedOutputVAT,InputVAT,ExpectedInputVAT,TotalSales,CountSellerInvoices,TotalPurchases,CountBuyerInvoices,ReportedVATLiability,ExpectedVATLiability,Size,SizeCategory,SalesBase_Standard,SalesBase_Reduced,SalesBase_Zero,PurchasesBase_Standard,PurchasesBase_Reduced,PurchasesBase_Zero
2066,2022 Q4,2022-12-31,Importer,0.0,0.0,0.0,0.0,18668.93,2.0,0.0,0.0,0.0,0.0,18668.93,Large,28004.79,0.0,0.0,0.0,0.0,0.0
2066,2023 Q1,2023-03-31,Importer,119116.83,203.82999999999998,0.0,0.0,5562119.47,373.0,0.0,0.0,119116.83,203.82999999999998,5562119.47,Large,246445.99,490401.76,4706098.02,0.0,0.0,0.0
2066,2023 Q2,2023-06-30,Importer,119054.24,54.239999999999995,0.0,0.0,4695594.18,346.0,0.0,0.0,119054.24,54.239999999999995,4695594.18,Large,243013.7,516597.64,3816039.26,0.0,0.0,0.0
2066,2023 Q3,2023-09-30,Importer,122099.89,3126.89,0.0,0.0,4558937.52,344.0,0.0,0.0,122099.89,3126.89,4558937.52,Large,254378.58,506570.18,3689305.47,0.0,0.0,0.0
2066,2023 Q4,2023-12-31,Importer,125980.44,453.44,0.0,0.0,5676340.42,345.0,0.0,0.0,125980.44,453.44,5676340.42,Large,251334.16,515867.89,4788108.8,0.0,0.0,0.0
2066,2024 Q1,2024-03-31,Importer,127544.16,567.16,0.0,0.0,5829897.42,345.0,0.0,0.0,127544.16,567.16,5829897.42,Large,259792.27,523976.93,4923121.57,0.0,0.0,0.0
2066,2024 Q2,2024-06-30,Importer,129769.6,406.6,0.0,0.0,5172972.64,346.0,0.0,0.0,129769.6,406.6,5172972.64,Large,255186.04,557745.61,4476306.9,0.0,0.0,0.0
2066,2024 Q3,2024-09-30,Importer,127800.5,759.5,0.0,0.0,4750938.51,345.0,0.0,0.0,127800.5,759.5,4750938.51,Large,262708.47,542731.18,3823773.79,0.0,0.0,0.0
2066,2024 Q4,2024-12-31,Importer,146699.66,307.65999999999997,0.0,0.0,6682625.97,371.0,0.0,0.0,146699.66,307.65999999999997,6682625.97,Large,292689.54,610942.22,5632223.44,0.0,0.0,0.0
2066,2025 Q1,2025-03-31,Importer,124689.83,75.83,0.0,0.0,6057525.15,318.0,0.0,0.0,124689.83,75.83,6057525.15,Large,252552.74,517328.5,5483541.65,0.0,0.0,0.0
2066,2025 Q2,2025-06-30,Importer,141894.61,52.61,0.0,0.0,5406106.55,347.0,0.0,0.0,141894.61,52.61,5406106.55,Large,316693.8,601015.14,4346924.2,0.0,0.0,0.0
2066,2025 Q3,2025-09-30,Importer,138465.1,459.09999999999997,0.0,0.0,5379061.68,373.0,0.0,0.0,138465.1,459.09999999999997,5379061.68,Large,268306.92,601608.71,4622832.79,0.0,0.0,0.0
2032,2022 Q4,2022-12-31,Importer,0.0,0.0,0.0,0.0,67316.97,2.0,0.0,0.0,0.0,0.0,67316.97,Small,100976.91,0.0,0.0,0.0,0.0,0.0
