CompanyId,VATPeriod,VATDate,Sector,SizeCategory,TotalObligation,ActualPayment,UnderPayment,TransactionCount,ComplianceRate
2013,2023 Q1,2023-03-31,Importer,Small,155723.94,0.0,155723.94,70,0.0
2013,2023 Q2,2023-06-30,Importer,Small,140514.63999999998,0.0,140514.63999999998,67,0.0
2013,2023 Q3,2023-09-30,Importer,Small,149464.85,14946.47,134518.36,66,0.1
2013,2023 Q4,2023-12-31,Importer,Small,154949.13,15494.9,139454.25,65,0.1
2013,2024 Q1,2024-03-31,Importer,Small,167343.41,16734.34,150609.06,68,0.1
2013,2024 Q2,2024-06-30,Importer,Small,162710.95,16271.11,146439.92,67,0.1
2013,2024 Q3,2024-09-30,Importer,Small,162171.48,0.0,162171.48,66,0.0
2013,2024 Q4,2024-12-31,Importer,Small,191007.3,0.0,191007.3,71,0.0
2013,2025 Q1,2025-03-31,Importer,Small,171961.17,10876.9,161084.35,63,0.0633
2013,2025 Q2,2025-06-30,Importer,Small,179852.79,1573.87,178278.93,67,0.0088
2013,2025 Q3,2025-09-30,Importer,Small,169912.45,0.0,169912.45,71,0.0
2014,2023 Q1,2023-03-31,Importer,Medium,92578.83,0.0,92578.83,70,0.0
2014,2023 Q2,2023-06-30,Importer,Medium,96627.52,0.0,96627.52,65,0.0
2014,2023 Q3,2023-09-30,Importer,Medium,99593.18,0.0,99593.18,65,0.0
2014,2023 Q4,2023-12-31,Importer,Medium,102702.1,10270.23,92431.89,66,0.1
2014,2024 Q1,2024-03-31,Importer,Medium,104528.9,3024.87,101504.04,66,0.0289
2014,2024 Q2,2024-06-30,Importer,Medium,100755.75,605.59,100150.19,65,0.006
2014,2024 Q3,2024-09-30,Importer,Medium,104934.56999999999,10493.47,94441.13,65,0.1
2014,2024 Q4,2024-12-31,Importer,Medium,125594.1,1167.96,124426.1,71,0.0093
2014,2025 Q1,2025-03-31,Importer,Medium,105023.88,10502.41,94521.45999999999,60,0.1
2014,2025 Q2,2025-06-30,Importer,Medium,114363.29,0.0,114363.29,65,0.0
2014,2025 Q3,2025-09-30,Importer,Medium,114634.79,853.99,113780.79,70,0.0074
2015,2023 Q1,2023-03-31,Importer,Small,26628.1,19158.82,7469.28,59,0.7195
2015,2023 Q2,2023-06-30,Importer,Small,23310.41,15946.34,7364.09,53,0.6841
2015,2023 Q3,2023-09-30,Importer,Small,24099.56,11048.42,13051.17,52,0.4584
2015,2023 Q4,2023-12-31,Importer,Small,31535.010000000002,21929.56,9605.42,54,0.6954
2015,2024 Q1,2024-03-31,Importer,Small,29449.85,18090.93,11358.93,52,0.6143
2015,2024 Q2,2024-06-30,Importer,Small,28142.04,16686.95,11455.12,54,0.593
2015,2024 Q3,2024-09-30,Importer,Small,25313.53,17921.99,7391.55,53,0.708
2015,2024 Q4,2024-12-31,Importer,Small,32678.46,21863.79,10814.64,57,0.6691
2015,2025 Q1,2025-03-31,Importer,Small,27614.17,17924.17,9690.0,49,0.6491
2015,2025 Q2,2025-06-30,Importer,Small,28340.59,11225.65,17114.97,53,0.3961
2015,2025 Q3,2025-09-30,Importer,Small,31161.57,24739.99,6421.56,58,0.7939
2016,2023 Q1,2023-03-31,Importer,Medium,108872.51,0.0,108872.51,85,0.0
2016,2023 Q2,2023-06-30,Importer,Medium,121675.88,0.0,121675.88,81,0.0
2016,2023 Q3,2023-09-30,Importer,Medium,115008.4,7419.21,107589.19,79,0.0645
2016,2023 Q4,2023-12-31,Importer,Medium,116189.65,0.0,116189.65,78,0.0
2016,2024 Q1,2024-03-31,Importer,Medium,110935.70999999999,0.0,110935.70999999999,78,0.0
2016,2024 Q2,2024-06-30,Importer,Medium,125984.02,12534.88,113449.08,79,0.0995
2016,2024 Q3,2024-09-30,Importer,Medium,127013.81999999999,9785.91,117227.84,79,0.077
2016,2024 Q4,2024-12-31,Importer,Medium,128743.53,0.0,128743.53,86,0.0
