CompanyId,VATPeriod,Good_Beef_Meat_DKK,Good_Beef_Meat_mp_DKK,Good_Beer_DKK,Good_Bread_DKK,Good_Bread_fp_DKK,Good_Cafe_Service_DKK,Good_Canned_DKK,Good_Canned_fp_DKK,Good_Cattle_Feed_DKK,Good_Cheese_DKK,Good_Cheese_fp_DKK,Good_Chicken_Feed_DKK,Good_Chicken_Meat_DKK,Good_Chicken_Meat_mp_DKK,Good_Cleaning_Service_DKK,Good_Coffee_Beans_DKK,Good_Cream_DKK,Good_Cream_fp_DKK,Good_Delicacies_DKK,Good_Detergents_DKK,Good_Eggs_DKK,Good_Eggs_farm_DKK,Good_Fertilizer_DKK,Good_Fine_Meat_Meal_DKK,Good_Fine_Vegetarian_Meal_DKK,Good_Flour_DKK,Good_Flour_fp_DKK,Good_Grain_DKK,Good_Juice_DKK,Good_Lettuce_DKK,Good_Live_Cattle_DKK,Good_Live_Chickens_DKK,Good_Live_Pigs_DKK,Good_Machinery_DKK,Good_Pig_Feed_DKK,Good_Pizza_Boxes_DKK,Good_Pizza_Meal_DKK,Good_Pork_Meat_DKK,Good_Pork_Meat_mp_DKK,Good_Processed_Lettuce_DKK,Good_Processed_Lettuce_fp_DKK,Good_Processed_Milk_DKK,Good_Processed_Milk_fp_DKK,Good_Raw_Milk_DKK,Good_Seeds_DKK,Good_Soft_Drinks_DKK,Good_Tea_Leaves_DKK,Good_Tomatoes_DKK,Good_Wine_DKK,Good_Beef_Meat_Qty,Good_Beef_Meat_mp_Qty,Good_Beer_Qty,Good_Bread_Qty,Good_Bread_fp_Qty,Good_Cafe_Service_Qty,Good_Canned_Qty,Good_Canned_fp_Qty,Good_Cattle_Feed_Qty,Good_Cheese_Qty,Good_Cheese_fp_Qty,Good_Chicken_Feed_Qty,Good_Chicken_Meat_Qty,Good_Chicken_Meat_mp_Qty,Good_Cleaning_Service_Qty,Good_Coffee_Beans_Qty,Good_Cream_Qty,Good_Cream_fp_Qty,Good_Delicacies_Qty,Good_Detergents_Qty,Good_Eggs_Qty,Good_Eggs_farm_Qty,Good_Fertilizer_Qty,Good_Fine_Meat_Meal_Qty,Good_Fine_Vegetarian_Meal_Qty,Good_Flour_Qty,Good_Flour_fp_Qty,Good_Grain_Qty,Good_Juice_Qty,Good_Lettuce_Qty,Good_Live_Cattle_Qty,Good_Live_Chickens_Qty,Good_Live_Pigs_Qty,Good_Machinery_Qty,Good_Pig_Feed_Qty,Good_Pizza_Boxes_Qty,Good_Pizza_Meal_Qty,Good_Pork_Meat_Qty,Good_Pork_Meat_mp_Qty,Good_Processed_Lettuce_Qty,Good_Processed_Lettuce_fp_Qty,Good_Processed_Milk_Qty,Good_Processed_Milk_fp_Qty,Good_Raw_Milk_Qty,Good_Seeds_Qty,Good_Soft_Drinks_Qty,Good_Tea_Leaves_Qty,Good_Tomatoes_Qty,Good_Wine_Qty,VATDate,ExpectedOutputVAT,OutputVAT,OutputVAT_Prev_1,OutputVAT_Prev_2,SizeCategory_Large,SizeCategory_Medium,SizeCategory_Small,Sector_Cafe,Sector_Cleaning_Services,Sector_Crop_Farmers,Sector_Customer,Sector_Distributors,Sector_Fine_Dine_Meat,Sector_Fine_Dine_Vegetarian,Sector_Food_Processors,Sector_Livestock_Farmers,Sector_Meat_Processors,Sector_Pizzeria
2,2024 Q2,0.0,0.0,0.0,0.0,0.0,0.0,5841.09,0.0,0.0,62564.56,0.0,0.0,8125.9400000000005,0.0,24969.75,0.0,6855.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14404.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1642.4,0.0,13057.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7935.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.395044,0.0,0.0,189.592564,0.0,0.0,63.197523,0.0,3.0,0.0,63.197523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252.790084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.197523,0.0,126.395044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,404.597499,0.0,0.0,0.0,2024-06-30,70018.0,70018.0,70018.0,70018.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,2024 Q3,0.0,0.0,0.0,0.0,0.0,0.0,4926.51,0.0,0.0,59822.34,0.0,0.0,7769.76,0.0,24969.75,0.0,6554.5599999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12092.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1599.87,0.0,12485.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7244.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.120555,0.0,0.0,184.680831,0.0,0.0,61.560277,0.0,3.0,0.0,61.560277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246.241106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.560277,0.0,123.120555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,369.361661,0.0,0.0,0.0,2024-09-30,68797.0,67902.0,70018.0,70018.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,2024 Q4,0.0,0.0,0.0,0.0,0.0,0.0,5366.62,0.0,0.0,79593.68,0.0,0.0,10337.7,0.0,24969.75,0.0,8720.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13174.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1717.61,0.0,16612.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7777.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.888428,0.0,0.0,194.832642,0.0,0.0,64.944214,0.0,3.0,0.0,64.944214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259.776856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.944214,0.0,129.888428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,389.665284,0.0,0.0,0.0,2024-12-31,90018.0,89028.0,67902.0,70018.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,2025 Q1,0.0,0.0,0.0,0.0,0.0,0.0,6328.92,0.0,0.0,87698.09,0.0,0.0,10876.78,0.0,24969.75,0.0,9608.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15557.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1838.35,0.0,17478.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8324.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.150867,0.0,0.0,213.2263,0.0,0.0,71.075433,0.0,3.0,0.0,71.075433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.301734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.075433,0.0,142.150867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,426.452602,0.0,0.0,0.0,2025-03-31,99708.0,99708.0,89028.0,67902.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,2025 Q2,0.0,0.0,0.0,0.0,0.0,0.0,5611.62,0.0,0.0,59530.59,0.0,0.0,7731.88,0.0,24969.75,0.0,6522.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13844.380000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1536.7,0.0,12424.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6958.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.261196,0.0,0.0,177.391796,0.0,0.0,59.1306,0.0,3.0,0.0,59.1306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236.522394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.1306,0.0,118.261196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,354.783592,0.0,0.0,0.0,2025-06-30,70075.0,69024.0,99708.0,89028.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,2025 Q3,0.0,0.0,0.0,0.0,0.0,0.0,4103.28,0.0,0.0,49503.97,0.0,0.0,6429.6,0.0,24969.75,0.0,5424.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10072.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1339.7,0.0,10332.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6066.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.098683,0.0,0.0,154.648025,0.0,0.0,51.549343,0.0,3.0,0.0,51.549343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206.197366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.549343,0.0,103.098683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309.296049,0.0,0.0,0.0,2025-09-30,59781.0,59781.0,69024.0,99708.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
3,2024 Q2,0.0,0.0,0.0,0.0,0.0,0.0,8287.15,0.0,0.0,83413.3,0.0,0.0,11649.33,0.0,49939.47,0.0,10028.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20688.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1755.25,0.0,20924.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10303.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.803782,0.0,0.0,266.705668,0.0,0.0,88.90189,0.0,3.0,0.0,88.90189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,355.60756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.90189,0.0,177.803782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,533.411341,0.0,0.0,0.0,2024-06-30,99376.0,67178.0,67178.0,67178.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
3,2024 Q3,0.0,0.0,0.0,0.0,0.0,0.0,6168.35,0.0,0.0,70828.69,0.0,0.0,9891.78,0.0,49939.47,0.0,8515.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15323.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1545.95,0.0,17767.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9075.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.603039,0.0,0.0,234.90456,0.0,0.0,78.30152100000001,0.0,3.0,0.0,78.30152100000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,313.206083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.30152100000001,0.0,156.603039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,469.809123,0.0,0.0,0.0,2024-09-30,87945.0,55142.0,67178.0,67178.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
3,2024 Q4,0.0,0.0,0.0,0.0,0.0,0.0,7155.92,0.0,0.0,101588.08,0.0,0.0,14187.58,0.0,49939.47,0.0,12213.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17778.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1940.92,0.0,25483.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10390.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.520524,0.0,0.0,264.78078800000003,0.0,0.0,88.260263,0.0,3.0,0.0,88.260263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.041049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.50063399999999,0.0,176.520524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,529.561574,0.0,0.0,0.0,2024-12-31,118521.0,60209.0,55142.0,67178.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
3,2025 Q1,0.0,0.0,0.0,0.0,0.0,0.0,7321.8,0.0,0.0,92652.20999999999,0.0,0.0,12352.630000000001,0.0,49939.47,0.0,11139.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18229.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1599.44,0.0,22187.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9389.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.843376,0.0,0.0,242.765062,0.0,0.0,80.921688,0.0,3.0,0.0,80.921688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323.686753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.921688,0.0,161.843376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,485.530128,0.0,0.0,0.0,2025-03-31,110018.0,72282.0,60209.0,55142.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
