CompanyId,VATPeriod,VATDate,Sector,OutputVAT,ExpectedOutputVAT,InputVAT,ExpectedInputVAT,TotalSales,CountSellerInvoices,TotalPurchases,CountBuyerInvoices,ReportedVATLiability,ExpectedVATLiability,Size,SizeCategory,SalesBase_Standard,SalesBase_Reduced,SalesBase_Zero,PurchasesBase_Standard,PurchasesBase_Reduced,PurchasesBase_Zero
2066,2022 Q4,2022-12-31,Importer,0.0,0.0,0.0,0.0,16752.11,2.0,0.0,0.0,0.0,0.0,16752.11,Large,25128.33,0.0,0.0,0.0,0.0,0.0
2066,2023 Q1,2023-03-31,Importer,121295.08,461.08000000000004,0.0,0.0,5627042.57,373.0,0.0,0.0,121295.08,461.08000000000004,5627042.57,Large,262232.8,498175.14,4750508.47,0.0,0.0,0.0
2066,2023 Q2,2023-06-30,Importer,122193.78,147.78,0.0,0.0,4730458.36,346.0,0.0,0.0,122193.78,147.78,4730458.36,Large,256108.98,536823.84,3815205.55,0.0,0.0,0.0
2066,2023 Q3,2023-09-30,Importer,117020.44,202.44,0.0,0.0,4521502.51,344.0,0.0,0.0,117020.44,202.44,4521502.51,Large,231073.95,509284.97,3664150.64,0.0,0.0,0.0
2066,2023 Q4,2023-12-31,Importer,131399.15,51.15,0.0,0.0,5964407.93,345.0,0.0,0.0,131399.15,51.15,5964407.93,Large,283728.54,512147.18,5067840.21,0.0,0.0,0.0
2066,2024 Q1,2024-03-31,Importer,133397.48,1638.48,0.0,0.0,5997933.51,345.0,0.0,0.0,133397.48,1638.48,5997933.51,Large,280458.49,558466.71,5039264.46,0.0,0.0,0.0
2066,2024 Q2,2024-06-30,Importer,127339.9,1850.9,0.0,0.0,4996108.06,346.0,0.0,0.0,127339.9,1850.9,4996108.06,Large,244488.96,595588.14,4042590.6,0.0,0.0,0.0
2066,2024 Q3,2024-09-30,Importer,133559.86,5084.86,0.0,0.0,5135456.59,345.0,0.0,0.0,133559.86,5084.86,5135456.59,Large,301208.73,568605.93,4438546.68,0.0,0.0,0.0
2066,2024 Q4,2024-12-31,Importer,155373.92,16.92,0.0,0.0,6936716.2,371.0,0.0,0.0,155373.92,16.92,6936716.2,Large,337814.05,613540.58,5835414.14,0.0,0.0,0.0
2066,2025 Q1,2025-03-31,Importer,125678.52,12.52,0.0,0.0,5896787.86,318.0,0.0,0.0,125678.52,12.52,5896787.86,Large,271442.66,507851.57,4999057.26,0.0,0.0,0.0
2066,2025 Q2,2025-06-30,Importer,141614.78,403.78,0.0,0.0,5753924.74,347.0,0.0,0.0,141614.78,403.78,5753924.74,Large,329394.6,602230.5,4952298.91,0.0,0.0,0.0
2066,2025 Q3,2025-09-30,Importer,148809.04,2046.04,0.0,0.0,5604565.29,373.0,0.0,0.0,148809.04,2046.04,5604565.29,Large,307400.53,641895.17,4778729.46,0.0,0.0,0.0
2032,2022 Q4,2022-12-31,Importer,0.0,0.0,0.0,0.0,69084.7,2.0,0.0,0.0,0.0,0.0,69084.7,Small,103628.1,0.0,0.0,0.0,0.0,0.0
2032,2023 Q1,2023-03-31,Importer,74750.09,4776.09,0.0,0.0,576027.79,101.0,0.0,0.0,74750.09,4776.09,576027.79,Small,338970.56,74521.08,99154.23,0.0,0.0,0.0
2032,2023 Q2,2023-06-30,Importer,65916.08,100.08000000000001,0.0,0.0,605173.01,97.0,0.0,0.0,65916.08,100.08000000000001,605173.01,Small,354469.13,79836.94,99820.49,0.0,0.0,0.0
2032,2023 Q3,2023-09-30,Importer,59922.6,46.6,0.0,0.0,484709.47,95.0,0.0,0.0,59922.6,46.6,484709.47,Small,263681.56,77686.97,79773.98,0.0,0.0,0.0
2032,2023 Q4,2023-12-31,Importer,59636.2,72.2,0.0,0.0,519460.97,95.0,0.0,0.0,59636.2,72.2,519460.97,Small,282160.47,78628.57,89940.88,0.0,0.0,0.0
